tf,split,hour,dow,net
15m,train,13,4,-1.4849675568544
15m,train,18,5,-1.524919513647427
15m,train,18,5,-2.3984984442296713
15m,train,13,6,-2.9592247279746693
15m,train,5,0,8.400164264834254
15m,train,8,0,3.1100095739079174
15m,train,11,0,8.441294266418808
15m,train,16,0,-0.0017907992783148252
15m,train,18,0,8.394444037687274
15m,train,23,0,8.375232836472506
15m,train,1,2,-1.3633470601570221
15m,train,13,1,-2.6254695882008496
15m,train,0,2,-2.3393488957128876
15m,train,2,2,-10.497047342778902
15m,train,13,2,0.15287106734149597
15m,train,4,3,2.04008782846616
15m,train,14,3,-1.2844930178066063
15m,train,13,4,-0.24813966798842507
15m,train,14,4,-0.5249742915794189
15m,train,15,4,-2.564739346546252
15m,train,12,6,2.4054944734754433
15m,train,12,6,1.4598055366565559
15m,train,20,6,7.535881328395548
15m,train,21,6,7.4931591776427675
15m,train,23,6,-1.7542468617726183
15m,train,13,2,-0.12592307645420864
15m,train,5,4,3.1012152938780577
15m,train,6,4,-0.6367972884212271
15m,train,21,4,7.492418578226035
15m,train,3,5,-1.1244531691370023
15m,train,23,5,7.370142039417937
15m,train,23,5,-0.9928844957868163
15m,train,22,6,-7.45555984816122
15m,train,11,0,1.0104566430324011
15m,train,21,0,-1.4797468815143506
15m,train,23,0,2.017485300773242
15m,train,7,1,-0.9209180747248464
15m,train,15,2,8.247939429201333
15m,train,20,1,8.166446012131766
15m,train,20,1,8.154866318185213
15m,train,6,2,0.5508206975826091
15m,train,10,2,8.396442444331328
15m,train,13,2,-0.16153480996111408
15m,train,8,3,3.564923617405912
15m,train,9,3,-0.8484152786483039
15m,train,12,3,-0.7899984254306816
15m,train,14,5,10.869877330690505
15m,train,17,5,3.17221647090984
15m,train,17,6,-0.20665143717555617
15m,train,15,2,-11.670843078838883
15m,train,19,1,12.384541263697045
15m,train,23,1,-3.6299201608244016
15m,train,14,2,-0.5214219449487307
15m,train,22,2,0.5775208059286794
15m,train,10,3,-2.112182984296585
15m,train,16,3,2.0916078022597553
15m,train,0,4,0.7033277510717104
15m,train,18,4,-0.309092428958768
15m,train,7,6,6.218926322672831
15m,train,23,6,-2.8291998704381376
15m,train,7,0,2.4772489373143878
15m,train,1,1,-1.9035417867816686
15m,train,3,1,11.79747425598154
15m,train,8,1,-3.5419450724893116
15m,train,19,0,10.132620376575808
15m,train,22,2,9.179010732386713
15m,train,14,3,9.342191169684467
15m,train,10,3,0.36110972296130406
15m,train,13,3,-2.2872159073105287
15m,train,19,3,-1.8532666347882172
15m,train,11,6,-3.3717142800930815
15m,train,18,6,-7.38277990518421
15m,train,10,0,-1.8410508696428778
15m,train,0,1,-0.23373105357580287
15m,train,12,1,-0.4340551417420867
15m,train,14,1,-2.4028045510092175
15m,train,13,2,0.52681024326488
15m,train,6,3,10.961715441086577
15m,train,14,3,-10.622380367796106
15m,train,15,3,-3.6016666453224033
15m,train,7,4,3.1669060944515364
15m,train,10,4,4.863454004541705
15m,train,12,4,-2.3140822651575736
15m,train,19,4,-1.1211169001789303
15m,train,21,4,11.226844592210123
15m,train,6,5,11.145838230210945
15m,train,12,5,-2.665093581534361
15m,train,19,5,-3.7324284694896934
15m,train,18,6,-1.17997169524604
15m,train,1,0,11.431218036037325
15m,train,14,0,-0.9163359892006746
15m,train,19,0,11.163632843053707
15m,train,11,1,11.060408414761868
15m,train,15,1,0.28550489425207626
