zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
BB,1.0,5.0,70,186,0.618,1.541,286.6,10.801
BB,1.0,5.0,75,150,0.647,1.562,234.4,10.321
BB,1.0,5.0,80,101,0.644,1.45,146.5,9.431
BB,1.0,5.0,85,78,0.667,2.349,183.2,7.619
BB,1.0,5.0,90,65,0.662,2.372,154.2,7.335
BB,1.5,0.5,60,399,0.536,1.445,576.5,9.854
BB,1.5,0.5,65,265,0.547,1.138,301.6,10.394
BB,1.5,0.5,70,186,0.565,1.134,210.8,11.521
BB,1.5,0.5,75,150,0.58,0.971,145.6,11.394
BB,1.5,0.5,80,101,0.584,0.974,98.4,10.343
BB,1.5,0.5,85,78,0.603,1.611,125.7,7.672
BB,1.5,0.5,90,65,0.585,1.578,102.6,7.802
BB,1.5,1.0,60,399,0.524,1.473,587.9,9.941
BB,1.5,1.0,65,265,0.536,1.152,305.3,10.362
BB,1.5,1.0,70,186,0.548,1.227,228.2,11.486
BB,1.5,1.0,75,150,0.567,1.113,166.9,11.293
BB,1.5,1.0,80,101,0.564,1.078,108.8,10.221
BB,1.5,1.0,85,78,0.577,1.664,129.8,7.716
BB,1.5,1.0,90,65,0.569,1.618,105.2,7.73
BB,1.5,2.0,60,399,0.516,1.517,605.2,10.064
BB,1.5,2.0,65,265,0.528,1.193,316.1,10.4
BB,1.5,2.0,70,186,0.538,1.328,247.0,11.529
BB,1.5,2.0,75,150,0.56,1.222,183.3,11.258
BB,1.5,2.0,80,101,0.554,1.165,117.7,10.179
BB,1.5,2.0,85,78,0.564,1.715,133.7,7.83
BB,1.5,2.0,90,65,0.554,1.645,106.9,7.724
BB,1.5,3.0,60,399,0.514,1.54,614.4,10.137
BB,1.5,3.0,65,265,0.525,1.214,321.7,10.428
BB,1.5,3.0,70,186,0.538,1.375,255.7,11.56
BB,1.5,3.0,75,150,0.56,1.272,190.9,11.252
BB,1.5,3.0,80,101,0.554,1.207,121.9,10.166
BB,1.5,3.0,85,78,0.564,1.74,135.7,7.9
BB,1.5,3.0,90,65,0.554,1.657,107.7,7.726
BB,1.5,5.0,60,399,0.511,1.564,624.2,10.223
BB,1.5,5.0,65,265,0.521,1.236,327.5,10.463
BB,1.5,5.0,70,186,0.532,1.423,264.7,11.6
BB,1.5,5.0,75,150,0.553,1.324,198.6,11.251
BB,1.5,5.0,80,101,0.545,1.253,126.5,10.151
BB,1.5,5.0,85,78,0.551,1.768,137.9,7.979
BB,1.5,5.0,90,65,0.538,1.669,108.5,7.722
BB,2.0,0.5,60,399,0.481,1.258,501.8,10.499
BB,2.0,0.5,65,265,0.483,0.825,218.6,10.834
BB,2.0,0.5,70,186,0.495,0.756,140.7,11.915
BB,2.0,0.5,75,150,0.507,0.726,108.9,11.691
BB,2.0,0.5,80,101,0.495,0.405,40.9,10.341
BB,2.0,0.5,85,78,0.526,1.314,102.5,8.199
BB,2.0,0.5,90,65,0.492,1.136,73.9,8.359
BB,2.0,1.0,60,399,0.466,1.237,493.7,10.593
BB,2.0,1.0,65,265,0.468,0.76,201.5,10.799
BB,2.0,1.0,70,186,0.478,0.815,151.5,11.904
BB,2.0,1.0,75,150,0.493,0.82,123.0,11.632
BB,2.0,1.0,80,101,0.475,0.436,44.0,10.266
BB,2.0,1.0,85,78,0.5,1.345,104.9,8.371
