depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.5,3.0,1.0,1.9706,1.4702,2.749,181,459,226
0.675,3.5,7.0,3.1013,1.4689,2.7377,175,436,218
0.5,3.0,7.0,2.668,1.468,2.6815,181,459,226
0.5,3.0,6.0,2.576,1.4662,2.6832,181,459,226
0.5,5.0,5.0,3.9105,1.4651,3.0075,181,459,226
0.5,3.0,2.0,2.1791,1.465,2.7035,181,459,226
0.5,3.0,5.0,2.6302,1.4644,2.6854,181,459,226
0.425,3.5,3.0,2.2255,1.464,3.3143,186,463,229
0.4,5.0,2.0,2.4226,1.4633,3.1928,186,463,230
0.7,3.0,7.0,3.0807,1.463,2.7244,175,431,217
0.5,3.0,4.0,2.5125,1.4627,2.6883,181,459,226
0.5,3.0,3.0,2.368,1.4618,2.6932,181,459,226
0.475,2.5,1.0,2.0841,1.4618,2.2882,184,460,227
0.5,5.0,6.0,3.8799,1.4608,3.0136,181,459,226
